Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
MHW043_R1_001	MHW043_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55871831.0	0.0	150.0	45.0	76.60273535974262	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
MHW043_R2_001	MHW043_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55871831.0	0.0	150.0	45.0	76.52084267880853	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
MHW044_R1_001	MHW044_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51669934.0	0.0	150.0	45.0	76.85401514431672	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	warn
MHW044_R2_001	MHW044_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51669934.0	0.0	150.0	45.0	76.67126067851761	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	warn
MHW045_R1_001	MHW045_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45433524.0	0.0	150.0	45.0	78.17928757542025	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	warn
MHW045_R2_001	MHW045_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45433524.0	0.0	150.0	46.0	78.116080274069	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	warn
MHW046_R1_001	MHW046_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54997013.0	0.0	150.0	45.0	76.15121258759604	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
MHW046_R2_001	MHW046_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54997013.0	0.0	150.0	45.0	76.15165901273417	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
MHW047_R1_001	MHW047_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53625800.0	0.0	150.0	46.0	80.6663392942365	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	warn
MHW047_R2_001	MHW047_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53625800.0	0.0	150.0	47.0	80.61280851893942	150.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	fail	warn
MHW048_R1_001	MHW048_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50261452.0	0.0	150.0	46.0	81.04207954056416	150.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	warn	warn
